Profiles of voters and nonvoters,,
% composition of validated voters and nonvoters,,
,,
Demos,Voters,Nonvoters
Candidate preference,,
Hillary Clinton,48,37
Donald Trump,45,30
,,
Male,45,51
Female,55,49
,,
18-29,13,33
30-49,30,33
50-64,29,24
65+,27,9
,,
White,74,52
Black,10,15
Hispanic,10,19
Other,5,12
,,
Postgrad,14,6
College grad,23,10
Some college,34,33
HS or less,30,51
,,
College grad+,37,16
Non-college grad,63,84
,,
Among whites,,
College grad+,30,11
Non-college grad,44,43
Among nonwhites,,
College grad+,7,5
Non-college grad,19,42
N=,"3,014",756
,,
Family income,,
"$150,000 or more",7,4
"$100,000-$149,999",11,4
"$75,000-$99,999",15,8
"$50,000-$74,999",18,11
"$30,000-$49,999",20,17
"Less than $30,000",28,56
,,
"$75,000 or more",33,15
"$30,000-$74,999",38,28
"Less than $30,000",28,56
,,
Among whites,,
"$75,000 or more",27,9
"$30,000-$74,999",28,15
"Less than $30,000",18,29
,,
Among nonwhites,,
"$75,000 or more",6,5
"$30,000-$74,999",10,13
"Less than $30,000",10,28
,,
"Among all, say they live in ___ community",,
Urban,22,27
Suburban,50,42
Rural,27,30
N=,"3,014",756
,,
White Evangelical Protestant,20,13
White Mainline Protestant,15,10
Black Protestant,7,9
Other race Protestant,5,13
White non-Hispanic Catholic,14,6
Hispanic Catholic,5,7
Atheist/Agnostic,12,10
Nothing in particular,14,22
,,
Attend religious services…,,
At least once a week,26,23
Once or twice a month/a few times a year,26,29
Seldom/Never,47,48
,,
Married,52,36
Unmarried,48,64
,,
Married men,27,17
Unmarried men,19,34
Married women,26,20
Unmarried women,29,30
N=,"3,014",756
,,
Candidate preference,,
Hillary Clinton,48,37
Donald Trump,45,30
,,
Republican/Lean Republican,48,41
Democrat/Lean Democrat,51,55
,,
Self-identified ideology,,
Very conservative,9,14
Conservative,26,23
Moderate,38,39
Liberal,18,17
Very liberal,9,6
,,
Ideological consistency scale*,,
Consistently conservative,12,5
Mostly conservative,19,13
Mixed,30,52
Mostly liberal,20,22
Consistently liberal,20,8
N=,"3,014",756
,,
"Notes: Validated voters are those found to have voted in any of 5 commercial voter files in November 2016 and reported voting for Trump, Clinton, Johnson or Stein. Nonvoters are those who were not found to have voted in any of the files. Corrected for questionable matches. Don’t know responses not shown.",,
"*For items in the ideological consistency scale see The Partisan Divide on Political Values Grows Even Wider, October 5, 2017.",,
"Source: Pew Research Center survey conducted Nov. 29-Dec. 12, 2016.  ",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
